日期,股票代码,股票名称,5年均值回归的市盈率,10年均值回归的市盈率,最新市盈率,预估每股净利润增长率(%),PEG,5年均值PE回归的收益率(%),10年均值PE回归的收益率(%),最新市净率,5年均值回归的市净率,10年均值回归的市净率,报告信息
2025/11/28,2371,北方华创,100,140.6,49.3,26.34%,1.9,79.91%,113.29%,8.6,10.79,9.27,"交银国际证券  2025-11-05  40.3  30.1  23.8  0.30125989368933115  https://pdf.dfcfw.com/pdf/H3_AP202511051775468137_1.pdf
东海证券  2025-11-04  39.16  30.49  24.86  0.2550781804087159  https://pdf.dfcfw.com/pdf/H3_AP202511041775040006_1.pdf
东吴证券  2025-11-02  45.28  33.5  26.59  0.30495050691522696  https://pdf.dfcfw.com/pdf/H3_AP202511021773899791_1.pdf
国金证券  2025-10-31  40.74  30.56  25.23  0.2707259153578123  https://pdf.dfcfw.com/pdf/H3_AP202510311772414431_1.pdf
东莞证券  2025-10-31  40.19  31.16  25.15  0.264124965511489  https://pdf.dfcfw.com/pdf/H3_AP202510311772592334_1.pdf
东海证券  2025-10-14  41.91  32.61  26.6  0.2552146867267113  https://pdf.dfcfw.com/pdf/H3_AP202510141762055129_1.pdf
华安证券  2025-09-25  43.25  35.43  28.43  0.23340193678762877  https://pdf.dfcfw.com/pdf/H3_AP202509251750262980_1.pdf
中邮证券  2025-09-15  36.62  28.35  22.6  0.2729312559211061  https://pdf.dfcfw.com/pdf/H3_AP202509151744197811_1.pdf
东吴证券  2025-09-02  36.6  28.89  23.86  0.23852655610448137  https://pdf.dfcfw.com/pdf/H3_AP202509021738144344_1.pdf
东莞证券  2025-09-02  37.3  28.92  23.35  0.2638949350528501  https://pdf.dfcfw.com/pdf/H3_AP202509021738069809_1.pdf
国信证券  2025-09-02  34.6  27.2  21.7  0.26272326583576877  https://pdf.dfcfw.com/pdf/H3_AP202509021738028486_1.pdf
开源证券  2025-09-01  34.3  27.1  22.4  0.23743686707645817  https://pdf.dfcfw.com/pdf/H3_AP202509011737566382_1.pdf"
2025/11/28,2352,顺丰控股,38.8,152.3,17.8,16.38%,1.1,71.74%,240.46%,1.97,3.41,9.15,"海通国际  2025-11-12  18.87  16.36  14.6  0.13686663836382218  https://pdf.dfcfw.com/pdf/H3_AP202511121779738188_1.pdf
国金证券  2025-11-02  18.51  15.63  13.67  0.16364083177302713  https://pdf.dfcfw.com/pdf/H3_AP202511021773633134_1.pdf
民生证券  2025-11-01  18.0  16.0  13.0  0.17669681082910427  https://pdf.dfcfw.com/pdf/H3_AP202511011773142595_1.pdf
国信证券  2025-11-01  18.8  15.8  13.5  0.18008160420904473  https://pdf.dfcfw.com/pdf/H3_AP202511011772998727_1.pdf
信达证券  2025-10-31  18.49  15.73  13.7  0.1617379379603432  https://pdf.dfcfw.com/pdf/H3_AP202510311772551760_1.pdf"
2025/11/28,600066,宇通客车,30,22.2,13.8,15.08%,0.9,69.34%,45.70%,5.13,2.62,2.77,"国信证券  2025-11-04  15.0  13.1  11.5  0.1420804814403216  https://pdf.dfcfw.com/pdf/H3_AP202511041774883957_1.pdf
东吴证券  2025-10-31  13.66  11.41  9.61  0.19223991048879552  https://pdf.dfcfw.com/pdf/H3_AP202510311772182640_1.pdf
民生证券  2025-10-29  15.0  13.0  12.0  0.1180339887498949  https://pdf.dfcfw.com/pdf/H3_AP202510291771248801_1.pdf"
2025/11/28,300015,爱尔眼科,75,79.6,33.3,12.60%,2.6,68.98%,74.07%,4.78,13.94,14.88,"国金证券  2025-10-30  32.85  29.45  26.77  0.10775444496847042  https://pdf.dfcfw.com/pdf/H3_AP202510301771723363_1.pdf
东莞证券  2025-10-28  28.8  25.2  22.0  0.1441551070947107  https://pdf.dfcfw.com/pdf/H3_AP202510281770787698_1.pdf"
2025/11/28,605117,德业股份,47,47,24,19.80%,1.2,67.71%,67.71%,7.88,13.6,13.6,"华安证券  2025-11-10  23.58  19.14  16.41  0.1987196094212227  https://pdf.dfcfw.com/pdf/H3_AP202511101778677091_1.pdf
中国银河  2025-11-05  20.06  16.14  13.51  0.21853438801465153  https://pdf.dfcfw.com/pdf/H3_AP202511051775618926_1.pdf
民生证券  2025-11-04  22.0  18.0  16.0  0.17260393995585743  https://pdf.dfcfw.com/pdf/H3_AP202511041775011689_1.pdf
东吴证券  2025-10-31  22.05  18.28  15.26  0.20206244781224525  https://pdf.dfcfw.com/pdf/H3_AP202510311772166103_1.pdf"
2025/11/28,300274,阳光电源,49.6,37.5,24.8,18.15%,1.4,67.16%,45.44%,8.43,8.63,5.84,"山西证券  2025-11-11  28.7  21.7  18.3  0.252320250945804  https://pdf.dfcfw.com/pdf/H3_AP202511111779153692_1.pdf
华安证券  2025-11-10  26.98  22.72  20.23  0.1548432261200965  https://pdf.dfcfw.com/pdf/H3_AP202511101778722064_1.pdf
华龙证券  2025-11-10  27.5  23.4  20.5  0.15821561664231854  https://pdf.dfcfw.com/pdf/H3_AP202511101778701244_1.pdf
中国银河  2025-11-04  28.43  24.74  23.42  0.10178025337600372  https://pdf.dfcfw.com/pdf/H3_AP202511041774955387_1.pdf
民生证券  2025-11-02  26.0  22.0  18.0  0.20185042515466312  https://pdf.dfcfw.com/pdf/H3_AP202511021773845043_1.pdf
交银国际证券  2025-10-30  24.0  20.1  16.9  0.19168718344843594  https://pdf.dfcfw.com/pdf/H3_AP202510301771897071_1.pdf
开源证券  2025-10-30  21.3  17.1  15.5  0.1722600173967792  https://pdf.dfcfw.com/pdf/H3_AP202510301771744712_1.pdf
东吴证券  2025-10-30  27.69  23.06  20.58  0.1599487271266271  https://pdf.dfcfw.com/pdf/H3_AP202510301771518510_1.pdf
群益证券  2025-10-29  22.04  17.4  14.86  0.2178572626739328  https://pdf.dfcfw.com/pdf/H3_AP202510291771213758_1.pdf
国金证券  2025-10-29  23.12  19.01  15.94  0.20434178985888463  https://pdf.dfcfw.com/pdf/H3_AP202510291771070419_1.pdf"
2025/11/28,601600,中国铝业,29.4,73.4,12.6,9.13%,1.4,66.41%,162.97%,2.46,1.78,1.73,"太平洋  2025-11-09  11.92  10.83  9.85  0.10006921794219803  https://pdf.dfcfw.com/pdf/H3_AP202511091778040571_1.pdf
国信证券  2025-10-31  11.5  10.3  9.7  0.08883745816778288  https://pdf.dfcfw.com/pdf/H3_AP202510311772528034_1.pdf
民生证券  2025-10-30  12.0  10.0  10.0  0.09544511501033215  https://pdf.dfcfw.com/pdf/H3_AP202510301771866463_1.pdf
国金证券  2025-10-28  10.89  9.97  9.32  0.08095094043269047  https://pdf.dfcfw.com/pdf/H3_AP202510281770469596_1.pdf"
2025/11/28,2311,海大集团,39.6,35.6,18.5,13.74%,1.3,66.41%,57.96%,3.67,5.71,5.69,"太平洋  2025-11-04  19.42  15.8  14.35  0.1633185739639924  https://pdf.dfcfw.com/pdf/H3_AP202511041775031048_1.pdf
华鑫证券  2025-10-30  18.9  16.4  14.0  0.1618950038622251  https://pdf.dfcfw.com/pdf/H3_AP202510301771936746_1.pdf
国信证券  2025-10-29  19.0  16.7  14.7  0.1368891796488878  https://pdf.dfcfw.com/pdf/H3_AP202510291771122734_1.pdf
开源证券  2025-10-21  19.1  17.1  15.9  0.09601909729494218  https://pdf.dfcfw.com/pdf/H3_AP202510211766341945_1.pdf
东莞证券  2025-10-20  19.93  17.6  15.02  0.15191035677258613  https://pdf.dfcfw.com/pdf/H3_AP202510201765694696_1.pdf
华安证券  2025-10-19  20.28  17.53  16.33  0.11439943431604416  https://pdf.dfcfw.com/pdf/H3_AP202510191765200237_1.pdf"
2025/11/28,725,京东方A,32.6,15.8,21.8,35.99%,0.6,66.15%,15.50%,1.08,1.41,1.5,国信证券  2025-11-27  23.3  15.9  12.6  0.3598552677422511  https://pdf.dfcfw.com/pdf/H3_AP202511271789129465_1.pdf
2025/11/28,600809,山西汾酒,45.6,43.8,19.3,7.68%,2.5,65.56%,62.32%,6.11,16.08,12.2,"西南证券  2025-11-06  19.31  18.31  16.75  0.07370192367133366  https://pdf.dfcfw.com/pdf/H3_AP202511061776242001_1.pdf
山西证券  2025-11-05  18.9  18.0  17.0  0.05440253503221082  https://pdf.dfcfw.com/pdf/H3_AP202511041775199216_1.pdf
华鑫证券  2025-11-04  19.4  18.3  16.7  0.07781104406411932  https://pdf.dfcfw.com/pdf/H3_AP202511041774827306_1.pdf
国信证券  2025-11-03  19.3  18.4  16.5  0.08152529776097683  https://pdf.dfcfw.com/pdf/H3_AP202511031774376071_1.pdf
群益证券  2025-11-03  18.0  17.0  15.0  0.09544511501033215  https://pdf.dfcfw.com/pdf/H3_AP202511031774262141_1.pdf
太平洋  2025-11-03  18.99  17.71  16.34  0.07804392423053863  https://pdf.dfcfw.com/pdf/H3_AP202511031774192757_1.pdf
海通国际  2025-11-03  18.91  18.35  17.52  0.03891188247289734  https://pdf.dfcfw.com/pdf/H3_AP202511031774463967_1.pdf
华安证券  2025-11-02  19.65  18.73  17.15  0.07040767689333527  https://pdf.dfcfw.com/pdf/H3_AP202511021773946017_1.pdf
民生证券  2025-11-02  19.0  18.0  16.0  0.0897247358851685  https://pdf.dfcfw.com/pdf/H3_AP202511021773856357_1.pdf
东吴证券  2025-11-01  19.37  18.44  16.75  0.07536873231825059  https://pdf.dfcfw.com/pdf/H3_AP202511011772797504_1.pdf
国金证券  2025-10-31  18.7  17.5  15.2  0.10917228503724208  https://pdf.dfcfw.com/pdf/H3_AP202510311772414438_1.pdf"
